method,batch,routing,lk_ms,xiaotu_ms,ratio
cpu_prefill,1,256,48.85947145521641,0.7166620343923569,0.014667822083364833
cpu_prefill,2,256,88.01630511879921,1.1936463415622711,0.013561650195962643
cpu_prefill,4,256,95.99648416042328,1.5411507338285446,0.016054241437145452
cpu_prefill,8,256,68.00618767738342,2.6370100677013397,0.03877603138424889
cpu_prefill,16,256,83.99896137416363,4.675816744565964,0.05566517333158538
cpu_prefill,32,256,119.98016014695168,8.409781381487846,0.07009310015245478
cpu_prefill,64,256,108.00446011126041,13.62227089703083,0.12612692923049562
cpu_prefill,128,256,124.00470115244389,22.605447098612785,0.1822950814648794
cpu_prefill,256,256,123.99287335574627,38.745127618312836,0.31247866566612836
cpu_prefill,512,256,116.03204347193241,69.45768930017948,0.5986078260957367
cpu_prefill,1024,256,119.95519883930683,121.4211992919445,1.012221233150566
cpu_prefill,2048,256,139.98020254075527,201.97780430316925,1.4429026436389343
